MAF3.0信号,MAF3.0信号,信号名称,共享内存内部信号,取值范围 单位 DBC名称,理论值factor,理论值offset,MAF获取理论值真值,MAF获取理论值,允许误差%,0不测试 1测试,0：上行 1：下行,发送信号值,发送信号值,发送信号值
UltrasonicObstacleReport,uss_obstacle_data[3].obj_end_X,障碍物3结束坐标x轴 ,obstacle_end_x[3],cm,0.01,0,0.43,Senddata * Factor + Offset,0,1,0,43,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_end_X,障碍物4结束坐标x轴 ,obstacle_end_x[4],cm,0.01,0,0.44,Senddata * Factor + Offset,0,1,0,44,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_end_X,障碍物5结束坐标x轴 ,obstacle_end_x[5],cm,0.01,0,0.45,Senddata * Factor + Offset,0,1,0,45,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_end_X,障碍物6结束坐标x轴 ,obstacle_end_x[6],cm,0.01,0,0.46,Senddata * Factor + Offset,0,1,0,46,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_end_X,障碍物7结束坐标x轴 ,obstacle_end_x[7],cm,0.01,0,0.47,Senddata * Factor + Offset,0,1,0,47,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_end_X,障碍物8结束坐标x轴 ,obstacle_end_x[8],cm,0.01,0,0.48,Senddata * Factor + Offset,0,1,0,48,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_end_X,障碍物9结束坐标x轴 ,obstacle_end_x[9],cm,0.01,0,0.49,Senddata * Factor + Offset,0,1,0,49,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_end_X,障碍物10结束坐标x轴,obstacle_end_x[10],cm,0.01,0,0.5,Senddata * Factor + Offset,0,1,0,50,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_end_X,障碍物11结束坐标x轴,obstacle_end_x[11],cm,0.01,0,0.51,Senddata * Factor + Offset,0,1,0,51,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_end_X,障碍物12结束坐标x轴,obstacle_end_x[12],cm,0.01,0,0.52,Senddata * Factor + Offset,0,1,0,52,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_end_X,障碍物13结束坐标x轴,obstacle_end_x[13],cm,0.01,0,0.53,Senddata * Factor + Offset,0,1,0,53,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_end_X,障碍物14结束坐标x轴,obstacle_end_x[14],cm,0.01,0,0.54,Senddata * Factor + Offset,0,1,0,54,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_end_X,障碍物15结束坐标x轴,obstacle_end_x[15],cm,0.01,0,0.55,Senddata * Factor + Offset,0,1,0,55,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_end_X,障碍物16结束坐标x轴,obstacle_end_x[16],cm,0.01,0,0.56,Senddata * Factor + Offset,0,1,0,56,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_end_X,障碍物17结束坐标x轴,obstacle_end_x[17],cm,0.01,0,0.57,Senddata * Factor + Offset,0,1,0,57,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_end_X,障碍物18结束坐标x轴,obstacle_end_x[18],cm,0.01,0,0.58,Senddata * Factor + Offset,0,1,0,58,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_end_X,障碍物19结束坐标x轴,obstacle_end_x[19],cm,0.01,0,0.59,Senddata * Factor + Offset,0,1,0,59,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_end_Y,障碍物0结束坐标y轴 ,obstacle_end_y[0],cm,0.01,0,0.6,Senddata * Factor + Offset,0,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_end_Y,障碍物1结束坐标y轴 ,obstacle_end_y[1],cm,0.01,0,0.61,Senddata * Factor + Offset,0,1,0,61,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_end_Y,障碍物2结束坐标y轴 ,obstacle_end_y[2],cm,0.01,0,0.62,Senddata * Factor + Offset,0,1,0,62,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_end_Y,障碍物3结束坐标y轴 ,obstacle_end_y[3],cm,0.01,0,0.63,Senddata * Factor + Offset,0,1,0,63,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_end_Y,障碍物4结束坐标y轴 ,obstacle_end_y[4],cm,0.01,0,0.64,Senddata * Factor + Offset,0,1,0,64,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_end_Y,障碍物5结束坐标y轴 ,obstacle_end_y[5],cm,0.01,0,0.65,Senddata * Factor + Offset,0,1,0,65,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_end_Y,障碍物6结束坐标y轴 ,obstacle_end_y[6],cm,0.01,0,0.66,Senddata * Factor + Offset,0,1,0,66,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_end_Y,障碍物7结束坐标y轴 ,obstacle_end_y[7],cm,0.01,0,0.67,Senddata * Factor + Offset,0,1,0,67,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_end_Y,障碍物8结束坐标y轴 ,obstacle_end_y[8],cm,0.01,0,0.68,Senddata * Factor + Offset,0,1,0,68,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_end_Y,障碍物9结束坐标y轴 ,obstacle_end_y[9],cm,0.01,0,0.69,Senddata * Factor + Offset,0,1,0,69,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_end_Y,障碍物10结束坐标y轴,obstacle_end_y[10],cm,0.01,0,0.7,Senddata * Factor + Offset,0,1,0,70,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_end_Y,障碍物11结束坐标y轴,obstacle_end_y[11],cm,0.01,0,0.71,Senddata * Factor + Offset,0,1,0,71,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_end_Y,障碍物12结束坐标y轴,obstacle_end_y[12],cm,0.01,0,0.72,Senddata * Factor + Offset,0,1,0,72,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_end_Y,障碍物13结束坐标y轴,obstacle_end_y[13],cm,0.01,0,0.73,Senddata * Factor + Offset,0,1,0,73,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_end_Y,障碍物14结束坐标y轴,obstacle_end_y[14],cm,0.01,0,0.74,Senddata * Factor + Offset,0,1,0,74,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_end_Y,障碍物15结束坐标y轴,obstacle_end_y[15],cm,0.01,0,0.75,Senddata * Factor + Offset,0,1,0,75,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_end_Y,障碍物16结束坐标y轴,obstacle_end_y[16],cm,0.01,0,0.76,Senddata * Factor + Offset,0,1,0,76,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_end_Y,障碍物17结束坐标y轴,obstacle_end_y[17],cm,0.01,0,0.77,Senddata * Factor + Offset,0,1,0,77,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_end_Y,障碍物18结束坐标y轴,obstacle_end_y[18],cm,0.01,0,0.78,Senddata * Factor + Offset,0,1,0,78,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_end_Y,障碍物19结束坐标y轴,obstacle_end_y[19],cm,0.01,0,0.79,Senddata * Factor + Offset,0,1,0,79,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_probability,障碍物0概率 ,obstacle_probability[0],NA,NA,NA,16.6,"=FLOOR(F342/16.6,1)*16.6",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_probability,障碍物1概率 ,obstacle_probability[1],NA,NA,NA,33.2,"=FLOOR(F343/16.6,1)*16.6",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_probability,障碍物2概率 ,obstacle_probability[2],NA,NA,NA,49.8,"=FLOOR(F344/16.6,1)*16.6",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_probability,障碍物3概率 ,obstacle_probability[3],NA,NA,NA,66.4,"=FLOOR(F345/16.6,1)*16.6",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_probability,障碍物4概率 ,obstacle_probability[4],NA,NA,NA,16.6,"=FLOOR(F346/16.6,1)*16.6",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_probability,障碍物5概率 ,obstacle_probability[5],NA,NA,NA,33.2,"=FLOOR(F347/16.6,1)*16.6",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_probability,障碍物6概率 ,obstacle_probability[6],NA,NA,NA,49.8,"=FLOOR(F348/16.6,1)*16.6",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_probability,障碍物7概率 ,obstacle_probability[7],NA,NA,NA,66.4,"=FLOOR(F349/16.6,1)*16.6",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_probability,障碍物8概率 ,obstacle_probability[8],NA,NA,NA,16.6,"=FLOOR(F350/16.6,1)*16.6",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_probability,障碍物9概率 ,obstacle_probability[9],NA,NA,NA,33.2,"=FLOOR(F351/16.6,1)*16.6",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_probability,障碍物10概率,obstacle_probability[10],NA,NA,NA,49.8,"=FLOOR(F352/16.6,1)*16.6",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_probability,障碍物11概率,obstacle_probability[11],NA,NA,NA,66.4,"=FLOOR(F353/16.6,1)*16.6",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_probability,障碍物12概率,obstacle_probability[12],NA,NA,NA,16.6,"=FLOOR(F354/16.6,1)*16.6",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_probability,障碍物13概率,obstacle_probability[13],NA,NA,NA,33.2,"=FLOOR(F355/16.6,1)*16.6",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_probability,障碍物14概率,obstacle_probability[14],NA,NA,NA,49.8,"=FLOOR(F356/16.6,1)*16.6",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_probability,障碍物15概率,obstacle_probability[15],NA,NA,NA,66.4,"=FLOOR(F357/16.6,1)*16.6",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_probability,障碍物16概率,obstacle_probability[16],NA,NA,NA,16.6,"=FLOOR(F358/16.6,1)*16.6",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_probability,障碍物17概率,obstacle_probability[17],NA,NA,NA,33.2,"=FLOOR(F359/16.6,1)*16.6",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_probability,障碍物18概率,obstacle_probability[18],NA,NA,NA,49.8,"=FLOOR(F360/16.6,1)*16.6",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_probability,障碍物19概率,obstacle_probability[19],NA,NA,NA,66.4,"=FLOOR(F361/16.6,1)*16.6",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_type,障碍物0类型 ,obstacle_type[0],NA,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_type,障碍物1类型 ,obstacle_type[1],NA,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_type,障碍物2类型 ,obstacle_type[2],NA,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_type,障碍物3类型 ,obstacle_type[3],NA,1,0,4,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_type,障碍物4类型 ,obstacle_type[4],NA,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_type,障碍物5类型 ,obstacle_type[5],NA,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_type,障碍物6类型 ,obstacle_type[6],NA,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_type,障碍物7类型 ,obstacle_type[7],NA,1,0,4,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_type,障碍物8类型 ,obstacle_type[8],NA,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_type,障碍物9类型 ,obstacle_type[9],NA,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_type,障碍物10类型,obstacle_type[10],NA,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_type,障碍物11类型,obstacle_type[11],NA,1,0,4,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_type,障碍物12类型,obstacle_type[12],NA,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_type,障碍物13类型,obstacle_type[13],NA,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_type,障碍物14类型,obstacle_type[14],NA,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_type,障碍物15类型,obstacle_type[15],NA,1,0,4,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_type,障碍物16类型,obstacle_type[16],NA,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_type,障碍物17类型,obstacle_type[17],NA,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_type,障碍物18类型,obstacle_type[18],NA,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_type,障碍物19类型,obstacle_type[19],NA,1,0,4,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_height,障碍物0高度 ,obstacle_height[0],NA,1,0,0,"=IF(F382>=3,2,F382)",0,1,0,0,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_height,障碍物1高度 ,obstacle_height[1],NA,1,0,1,"=IF(F383>=3,2,F383)",0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_height,障碍物2高度 ,obstacle_height[2],NA,1,0,2,"=IF(F384>=3,2,F384)",0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_height,障碍物3高度 ,obstacle_height[3],NA,1,0,2,"=IF(F385>=3,2,F385)",0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_height,障碍物4高度 ,obstacle_height[4],NA,1,0,0,"=IF(F386>=3,2,F386)",0,1,0,0,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_height,障碍物5高度 ,obstacle_height[5],NA,1,0,1,"=IF(F387>=3,2,F387)",0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_height,障碍物6高度 ,obstacle_height[6],NA,1,0,2,"=IF(F388>=3,2,F388)",0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_height,障碍物7高度 ,obstacle_height[7],NA,1,0,2,"=IF(F389>=3,2,F389)",0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_height,障碍物8高度 ,obstacle_height[8],NA,1,0,0,"=IF(F390>=3,2,F390)",0,1,0,0,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_height,障碍物9高度 ,obstacle_height[9],NA,1,0,1,"=IF(F391>=3,2,F391)",0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_height,障碍物10高度,obstacle_height[10],NA,1,0,2,"=IF(F392>=3,2,F392)",0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_height,障碍物11高度,obstacle_height[11],NA,1,0,2,"=IF(F393>=3,2,F393)",0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_height,障碍物12高度,obstacle_height[12],NA,1,0,0,"=IF(F394>=3,2,F394)",0,1,0,0,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_height,障碍物13高度,obstacle_height[13],NA,1,0,1,"=IF(F395>=3,2,F395)",0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_height,障碍物14高度,obstacle_height[14],NA,1,0,2,"=IF(F396>=3,2,F396)",0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_height,障碍物15高度,obstacle_height[15],NA,1,0,2,"=IF(F397>=3,2,F397)",0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_height,障碍物16高度,obstacle_height[16],NA,1,0,0,"=IF(F398>=3,2,F398)",0,1,0,0,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_height,障碍物17高度,obstacle_height[17],NA,1,0,1,"=IF(F399>=3,2,F399)",0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_height,障碍物18高度,obstacle_height[18],NA,1,0,2,"=IF(F400>=3,2,F400)",0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_height,障碍物19高度,obstacle_height[19],NA,1,0,2,"=IF(F401>=3,2,F401)",0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_height_probability,障碍物0高度概率 ,obstacle_height_probability[0],NA,NA,NA,1,"=FLOOR(F402/16.6,1)",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_height_probability,障碍物1高度概率 ,obstacle_height_probability[1],NA,NA,NA,2,"=FLOOR(F403/16.6,1)",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_height_probability,障碍物2高度概率 ,obstacle_height_probability[2],NA,NA,NA,3,"=FLOOR(F404/16.6,1)",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_height_probability,障碍物3高度概率 ,obstacle_height_probability[3],NA,NA,NA,4,"=FLOOR(F405/16.6,1)",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_height_probability,障碍物4高度概率 ,obstacle_height_probability[4],NA,NA,NA,1,"=FLOOR(F406/16.6,1)",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_height_probability,障碍物5高度概率 ,obstacle_height_probability[5],NA,NA,NA,2,"=FLOOR(F407/16.6,1)",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_height_probability,障碍物6高度概率 ,obstacle_height_probability[6],NA,NA,NA,3,"=FLOOR(F408/16.6,1)",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_height_probability,障碍物7高度概率 ,obstacle_height_probability[7],NA,NA,NA,4,"=FLOOR(F409/16.6,1)",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_height_probability,障碍物8高度概率 ,obstacle_height_probability[8],NA,NA,NA,1,"=FLOOR(F410/16.6,1)",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_height_probability,障碍物9高度概率 ,obstacle_height_probability[9],NA,NA,NA,2,"=FLOOR(F411/16.6,1)",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_height_probability,障碍物10高度概率,obstacle_height_probability[10],NA,NA,NA,3,"=FLOOR(F412/16.6,1)",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_height_probability,障碍物11高度概率,obstacle_height_probability[11],NA,NA,NA,4,"=FLOOR(F413/16.6,1)",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_height_probability,障碍物12高度概率,obstacle_height_probability[12],NA,NA,NA,1,"=FLOOR(F414/16.6,1)",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_height_probability,障碍物13高度概率,obstacle_height_probability[13],NA,NA,NA,2,"=FLOOR(F415/16.6,1)",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_height_probability,障碍物14高度概率,obstacle_height_probability[14],NA,NA,NA,3,"=FLOOR(F416/16.6,1)",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_height_probability,障碍物15高度概率,obstacle_height_probability[15],NA,NA,NA,4,"=FLOOR(F417/16.6,1)",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_height_probability,障碍物16高度概率,obstacle_height_probability[16],NA,NA,NA,1,"=FLOOR(F418/16.6,1)",5,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_height_probability,障碍物17高度概率,obstacle_height_probability[17],NA,NA,NA,2,"=FLOOR(F419/16.6,1)",5,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_height_probability,障碍物18高度概率,obstacle_height_probability[18],NA,NA,NA,3,"=FLOOR(F420/16.6,1)",5,1,0,60,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_height_probability,障碍物19高度概率,obstacle_height_probability[19],NA,NA,NA,4,"=FLOOR(F421/16.6,1)",5,1,0,80,,
UltrasonicObstacleReport,uss_obstacle_data[0].meta.timestamp_us,障碍物0时间戳 ,obstacle_timestamp[0],ms,1000,0,1655722057018000,Senddata * Factor + Offset,0,1,0,1655722057018,,
UltrasonicObstacleReport,uss_obstacle_data[1].meta.timestamp_us,障碍物1时间戳 ,obstacle_timestamp[1],ms,1000,0,1655722057019000,Senddata * Factor + Offset,0,1,0,1655722057019,,
UltrasonicObstacleReport,uss_obstacle_data[2].meta.timestamp_us,障碍物2时间戳 ,obstacle_timestamp[2],ms,1000,0,1655722057020000,Senddata * Factor + Offset,0,1,0,1655722057020,,
UltrasonicObstacleReport,uss_obstacle_data[3].meta.timestamp_us,障碍物3时间戳 ,obstacle_timestamp[3],ms,1000,0,1655722057021000,Senddata * Factor + Offset,0,1,0,1655722057021,,
UltrasonicObstacleReport,uss_obstacle_data[4].meta.timestamp_us,障碍物4时间戳 ,obstacle_timestamp[4],ms,1000,0,1655722057022000,Senddata * Factor + Offset,0,1,0,1655722057022,,
UltrasonicObstacleReport,uss_obstacle_data[5].meta.timestamp_us,障碍物5时间戳 ,obstacle_timestamp[5],ms,1000,0,1655722057023000,Senddata * Factor + Offset,0,1,0,1655722057023,,
UltrasonicObstacleReport,uss_obstacle_data[6].meta.timestamp_us,障碍物6时间戳 ,obstacle_timestamp[6],ms,1000,0,1655722057024000,Senddata * Factor + Offset,0,1,0,1655722057024,,
UltrasonicObstacleReport,uss_obstacle_data[7].meta.timestamp_us,障碍物7时间戳 ,obstacle_timestamp[7],ms,1000,0,1655722057025000,Senddata * Factor + Offset,0,1,0,1655722057025,,
UltrasonicObstacleReport,uss_obstacle_data[8].meta.timestamp_us,障碍物8时间戳 ,obstacle_timestamp[8],ms,1000,0,1655722057026000,Senddata * Factor + Offset,0,1,0,1655722057026,,
UltrasonicObstacleReport,uss_obstacle_data[9].meta.timestamp_us,障碍物9时间戳 ,obstacle_timestamp[9],ms,1000,0,1655722057027000,Senddata * Factor + Offset,0,1,0,1655722057027,,
UltrasonicObstacleReport,uss_obstacle_data[10].meta.timestamp_us,障碍物10时间戳,obstacle_timestamp[10],ms,1000,0,1655722057028000,Senddata * Factor + Offset,0,1,0,1655722057028,,
UltrasonicObstacleReport,uss_obstacle_data[11].meta.timestamp_us,障碍物11时间戳,obstacle_timestamp[11],ms,1000,0,1655722057029000,Senddata * Factor + Offset,0,1,0,1655722057029,,
UltrasonicObstacleReport,uss_obstacle_data[12].meta.timestamp_us,障碍物12时间戳,obstacle_timestamp[12],ms,1000,0,1655722057030000,Senddata * Factor + Offset,0,1,0,1655722057030,,
UltrasonicObstacleReport,uss_obstacle_data[13].meta.timestamp_us,障碍物13时间戳,obstacle_timestamp[13],ms,1000,0,1655722057031000,Senddata * Factor + Offset,0,1,0,1655722057031,,
UltrasonicObstacleReport,uss_obstacle_data[14].meta.timestamp_us,障碍物14时间戳,obstacle_timestamp[14],ms,1000,0,1655722057032000,Senddata * Factor + Offset,0,1,0,1655722057032,,
UltrasonicObstacleReport,uss_obstacle_data[15].meta.timestamp_us,障碍物15时间戳,obstacle_timestamp[15],ms,1000,0,1655722057033000,Senddata * Factor + Offset,0,1,0,1655722057033,,
UltrasonicObstacleReport,uss_obstacle_data[16].meta.timestamp_us,障碍物16时间戳,obstacle_timestamp[16],ms,1000,0,1655722057034000,Senddata * Factor + Offset,0,1,0,1655722057034,,
UltrasonicObstacleReport,uss_obstacle_data[17].meta.timestamp_us,障碍物17时间戳,obstacle_timestamp[17],ms,1000,0,1655722057035000,Senddata * Factor + Offset,0,1,0,1655722057035,,
UltrasonicObstacleReport,uss_obstacle_data[18].meta.timestamp_us,障碍物18时间戳,obstacle_timestamp[18],ms,1000,0,1655722057036000,Senddata * Factor + Offset,0,1,0,1655722057036,,
UltrasonicObstacleReport,uss_obstacle_data[19].meta.timestamp_us,障碍物19时间戳,obstacle_timestamp[19],ms,1000,0,1655722057037000,Senddata * Factor + Offset,0,1,0,1655722057037,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].sensor_tag,传感器标志,ObjStatus[0],NA,1,0,0,Senddata * Factor + Offset,0,0,0,0,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].object_id,目标id ,ObjID[0],NA,1,0,0,Senddata * Factor + Offset,0,1,0,0,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].relative_position.x,目标物在x方向的位置,ObjDistX[0],cm,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].relative_position.y,目标物在y方向的位置,ObjDistY[0],cm,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].relative_velocity.x,x方向相对目标物体速度,ObjRelVelX[0],cm/s,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].relative_velocity.y,y方向相对目标物体速度,ObjRelVelY[0],cm/s,1,0,4,Senddata * Factor + Offset,0,1,0,4,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].obstacle_prob,物体为障碍物的概率,ObjObstacleProb[0],NA,1,0,0.03125,Senddata * Factor + Offset,0,1,0,0.03125,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[0].exist_prob,目标存在概率,ObjExistProb[0],NA,1,0,0.03,"=ROUND(F449,2)",0,1,0,0.03125,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[1].sensor_tag,传感器标志,ObjStatus[1],NA,1,0,0,Senddata * Factor + Offset,0,0,0,0,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[1].object_id,目标id ,ObjID[1],NA,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[1].relative_position.x,目标物在x方向的位置,ObjDistX[1],cm,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[1].relative_position.y,目标物在y方向的位置,ObjDistY[1],cm,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
RadarPerceptionResult,radar_perception_objects.bosch_radar_perception_object_data[1].relative_velocity.x,x方向相对目标物体速度,ObjRelVelX[1],cm/s,1,0,3,Senddata * Factor + Offset,0,1,0,3,,
